"Bundesland","Abfall","Biomasse","Braunkohle","Deponiegas","Erdgas","Geothermie","Grubengas","Kernenergie","Klärgas","Laufwasser","Mehrere Energieträger ","Mineralölprodukte","Pumpspeicher","Solare Strahlungsenergie","Sonstige Energieträger ","Speicherwasser","Steinkohle","Unbekannter Energieträger","Windenergie Offshore","Windenergie","BL"
"Baden.Württemberg",0.00503105908927563,0.0408645207659531,0,0.00174546947995277,0.0539555418655989,5.13373376456697e-05,0,0.139226859695056,0,0.0406078340777247,0,0.0359361363519688,0.0961548334103393,0.270393757379742,0,0,0.283638790492325,0,0,0.0323938600544176,"BW"
"Bayern",0.00766036655211913,0.0463559564719359,0,0.000322164948453608,0.160652920962199,0.000823310423825888,0,0.188180126002291,0.000966494845360825,0.0703035509736541,0,0.0346864261168385,0.0196878579610538,0.386776918671249,0.00103808705612829,0.00608533791523482,0.0303193012600229,0,0,0.0461411798396335,"BY"
"Berlin",0.0142011834319527,0.0134122287968442,0.0646942800788955,0,0.42879684418146,0,0,0,0,0,0,0.128994082840237,0,0.0406311637080868,0,0,0.306508875739645,0,0,0.00276134122287968,"BE"
"Brandenburg",0.00791946308724832,0.0288590604026846,0.295906040268456,0.00214765100671141,0.0567785234899329,0,0,0,0,0.000335570469798658,0,0.0224161073825503,0,0.205637583892617,0.00838926174496644,0,0,0,0,0.371610738255034,"BB"
"Bremen",0.0571967316153363,0.00251414204902577,0,0.00125707102451289,0.106851037083595,0,0,0,0,0.00628535512256443,0,0.0553111250785669,0,0.0257699560025141,0.0942803268384664,0,0.563167818981772,0,0,0.0873664362036455,"HB"
"Hamburg",0.0179372197309417,0.0373692077727952,0,0,0.112107623318386,0,0,0,0,0,0,0.0284005979073244,0,0.038863976083707,0,0,0.717488789237668,0,0,0.0478325859491779,"HH"
"Hessen",0.0150583896742471,0.0396435156730178,0.00522433927473878,0.00368776889981561,0.248924400737554,0,0,0,0.00107559926244622,0.00968039336201598,0,0.00384142593730793,0.0957283343577136,0.274738783036263,0.00737553779963122,0.00307314074984634,0.115703749231715,0,0,0.176244622003688,"HE"
"Mecklenburg.Vorpommern",0.00325857772666283,0.0634464251485528,0,0.00230017251293847,0.0609545715928695,0,0,0,0,0.000575043128234618,0,0,0,0.272378761740464,0,0,0.0973739697143952,0,0,0.499712478435883,"MV"
"Niedersachsen",0.00326427576601671,0.0551009749303621,0.0153203342618384,0.000739902506963788,0.176444986072423,0,0,0.117035167130919,0.000652855153203343,0.00204561281337047,0,0.00256789693593315,0.00957520891364902,0.156075905292479,0.0125783426183844,0,0.0958391364902507,0,0,0.352759401114206,"NI"
"Nordrhein.Westfalen",0.0117839142471782,0.0170369844537517,0.253945718274532,0.00125411135562339,0.187170204207189,0,0.00482714559522964,0,0.000473249568159769,0.00376233406687016,0.00283949740895861,0.0119258891176262,0.00688578121672464,0.100470883320319,0.0345708809540711,0.000354937176119827,0.27550223610421,0,0,0.0871962329334375,"NW"
"Rheinland.Pfalz",0.0146932952924394,0.0235378031383738,0,0.00128388017118402,0.26904422253923,0.00114122681883024,0,0,0.000285306704707561,0.033095577746077,0,0,0,0.265620542082739,0.0079885877318117,0,0.00185449358059914,0,0,0.381455064194009,"RP"
"Saarland",0.00875,0.00625,0,0,0.035625,0,0.0175,0,0,0.0034375,0,0,0,0.134375,0.0265625,0,0.689375,0,0,0.078125,"SL"
"Sachsen",0.00173913043478261,0.0306521739130435,0.470108695652174,0.00130434782608696,0.0698913043478261,0,0,0,0,0.0146739130434783,0,0.00184782608695652,0.117934782608696,0.174239130434783,0,0,0,0,0,0.117608695652174,"SN"
"Sachsen.Anhalt",0.0203609949372661,0.0453444860224521,0.126788465771517,0.00176095091349329,0.085956416464891,0,0,0,0,0.00275148580233326,0,0.0254237288135593,0.00880475456746643,0.205480959718248,0.00473255558001321,0,0,0,0,0.472595201408761,"ST"
"Schleswig.Holstein",0.00168883259446907,0.0360987967067764,0,0.00105552037154317,0.00327211315178383,0,0,0.148828372387587,0.000633312222925902,0.000422208148617268,0,0.0606924213637323,0.0125606924213637,0.161072408697488,0.00749419463795651,0,0.0770529871226515,0,0,0.489128140173105,"SH"
"Thüringen",0.00220839188917888,0.0491869102589841,0,0.00100381449508131,0.0967677173258382,0,0,0,0,0.00642441276852038,0,0,0.302951214615539,0.307167235494881,0,0,0,0,0,0.234290303151978,"TH"
